"sy","sys_id_ga","sch_id_ga","pct_chr_abs"
2024,633,399,14
2024,633,5052,33
2024,633,592,26
2024,633,104,10
2024,633,198,17
2024,633,298,12
2024,633,102,24
2024,633,117,21
2024,633,809,20
2024,633,3556,24
2024,633,388,5
2024,633,190,18
2024,633,5056,8
2024,633,114,7
2024,633,5068,14
2024,633,3058,26
2024,633,292,5
2024,633,297,11
2024,633,185,5
2024,633,397,28
2024,633,194,20
2024,633,402,20
2024,633,4560,18
2024,633,187,12
2024,633,203,7
2024,633,404,19
2024,633,273,13
2024,633,2062,9
2024,633,3062,22
2024,633,287,15
2024,633,118,23
2024,633,107,20
2024,633,3064,26
2024,633,278,4
2024,633,288,6
2024,633,375,6
2024,633,391,10
2024,633,199,13
2024,633,1066,27
2024,633,109,12
2024,633,204,21
2024,633,489,21
2024,633,1067,31
2024,633,307,33
2024,633,378,8
2024,633,3067,24
2024,633,398,24
2024,633,5067,21
2024,633,291,7
2024,633,214,16
2024,633,478,8
2024,633,180,10
2024,633,4068,14
2024,633,491,7
2024,633,181,7
2024,633,191,14
2024,633,197,6
2024,634,102,19
2024,634,282,19
2024,634,100,13
2024,634,182,27
2024,634,3052,27
2024,634,5050,24
2024,635,4050,28
2024,635,2052,17
2024,635,278,16
2024,635,187,19
2024,635,5054,15
2024,635,2056,10
2024,636,212,12
2024,636,188,10
2024,636,190,12
2024,636,208,13
2024,636,397,17
2024,636,186,11
2024,636,297,6
2024,636,5050,18
2024,636,102,10
2024,636,2052,10
2024,636,3052,7
2024,636,4052,21
2024,636,398,6
2024,636,106,8
2024,636,194,11
2024,636,5052,20
2024,636,192,6
2024,771,1050,11
2024,771,104,12
2024,637,104,16
2024,637,196,20
2024,638,101,10
2024,638,1050,20
2024,638,2050,19
2024,638,115,10
2024,638,191,10
2024,638,2052,9
2024,638,3052,12
2024,638,195,18
2024,638,3054,14
2024,638,192,14
2024,638,2056,9
2024,638,199,14
2024,638,1054,15
2024,638,295,8
2024,638,201,18
2024,638,5056,20
2024,638,189,18
2024,638,103,14
2024,639,192,18
2024,639,203,26
2024,640,2052,28
2024,640,115,35
2024,641,101,22
2024,772,105,12
2024,772,1050,9
2024,772,301,15
2024,772,101,13
2024,772,1052,5
2024,772,173,16
2024,642,199,24
2024,642,103,18
