"sy","sys_id_ga","sch_id_ga","level","sys_nm","sch_nm","enr_k12"
2024,767,177,"ES","Cartersville City","Cartersville Primary School",1295
2024,623,103,"ES","Catoosa County","Battlefield Elementary School",421
2024,623,102,"ES","Catoosa County","Battlefield Primary",403
2024,623,1050,"ES","Catoosa County","Boynton Elementary School",563
2024,623,5050,"ES","Catoosa County","Graysville Elementary School",550
2024,623,3052,"ES","Catoosa County","Ringgold Elementary School",428
2024,623,100,"ES","Catoosa County","Ringgold Primary School",440
2024,623,185,"ES","Catoosa County","Tiger Creek Elementary School",395
2024,623,1054,"ES","Catoosa County","West Side Elementary School",454
2024,623,105,"ES","Catoosa County","Woodstation Elementary School",363
2024,624,199,"ES","Charlton County","Folkston Elementary School",492
2024,627,106,"ES","Chattooga County","Leroy Massey Elementary School",792
2024,628,397,"ES","Cherokee County","Arnold Mill Elementary School",751
2024,628,108,"ES","Cherokee County","Avery Elementary School",1106
2024,628,213,"ES","Cherokee County","Ball Ground Elementary School",578
2024,628,196,"ES","Cherokee County","Bascomb Elementary School",949
2024,628,189,"ES","Cherokee County","Boston Elementary School",613
2024,628,101,"ES","Cherokee County","Carmel Elementary School",863
2024,628,313,"ES","Cherokee County","Clark Creek Elementary School",1118
2024,628,1052,"ES","Cherokee County","Clayton Elementary School",301
2024,628,3052,"ES","Cherokee County","Hickory Flat Elementary School",892
2024,628,199,"ES","Cherokee County","Holly Springs Elementary School",737
2024,628,116,"ES","Cherokee County","Indian Knoll Elementary",865
2024,628,509,"ES","Cherokee County","J. Knox Elementary",862
2024,628,182,"ES","Cherokee County","Johnston Elementary School",438
2024,628,203,"ES","Cherokee County","Liberty Elementary School",927
2024,628,309,"ES","Cherokee County","Little River Elem.",1239
2024,628,5052,"ES","Cherokee County","Macedonia Elementary School",725
2024,628,190,"ES","Cherokee County","Mountain Road Elementary School",372
2024,628,2054,"ES","Cherokee County","Oak Grove Elementary School",463
2024,628,198,"ES","Cherokee County","R. M. Moore Elementary School",948
2024,628,193,"ES","Cherokee County","Sixes Elementary School",719
2024,628,105,"ES","Cherokee County","William G. Hasty, Sr. Elementary School",1011
2024,628,104,"ES","Cherokee County","Woodstock Elementary School",1123
2024,769,1050,"ES","Chickamauga City","Chickamauga Elementary School",533
2024,773,505,"ES","City Schools of Decatur","Clairemont Elementary School",167
2024,773,112,"ES","City Schools of Decatur","Fifth Avenue Upper Elementary School",593
2024,773,212,"ES","City Schools of Decatur","Glennwood Elementary School",180
2024,773,105,"ES","City Schools of Decatur","Oakhurst Elementary School",226
2024,773,506,"ES","City Schools of Decatur","Talley Street Upper Elementary School",638
2024,773,405,"ES","City Schools of Decatur","Winnona Park Elementary School",248
2024,629,2056,"ES","Clarke County","Barnett Shoals Elementary School",441
2024,629,3056,"ES","Clarke County","Barrow Elementary School",391
2024,629,3058,"ES","Clarke County","Fowler Drive Elementary School",345
2024,629,205,"ES","Clarke County","Gaines Elementary School",463
2024,629,291,"ES","Clarke County","Howard B. Stroud Elementary School",321
2024,629,5056,"ES","Clarke County","Johnnie Lay Burks Elementary School",432
2024,629,112,"ES","Clarke County","Judia Jackson Harris Elementary",349
2024,629,4060,"ES","Clarke County","Oglethorpe Avenue Elementary School",490
2024,629,178,"ES","Clarke County","Timothy Elementary School",535
2024,629,391,"ES","Clarke County","Whit Davis Road Elementary School",343
2024,629,1062,"ES","Clarke County","Whitehead Road Elementary School",590
2024,629,2062,"ES","Clarke County","Winterville Elementary School",308
2024,631,1050,"ES","Clayton County","Anderson Elementary School",452
2024,631,1550,"ES","Clayton County","Arnold Elementary School",412
2024,631,175,"ES","Clayton County","Brown Elementary School",645
2024,631,103,"ES","Clayton County","Callaway Elementary School",657
2024,631,4050,"ES","Clayton County","Church Street Elementary School",649
2024,631,1052,"ES","Clayton County","East Clayton Elementary School",612
2024,631,5052,"ES","Clayton County","Edmonds Elementary School",422
2024,631,2554,"ES","Clayton County","Fountain Elementary School",445
2024,631,203,"ES","Clayton County","Harper Elementary School",657
2024,631,199,"ES","Clayton County","Hawthorne Elementary School",754
2024,631,3054,"ES","Clayton County","Haynie Elementary School",746
2024,631,5054,"ES","Clayton County","Huie Elementary School",563
2024,631,304,"ES","Clayton County","James Jackson Elementary School",599
2024,631,380,"ES","Clayton County","Kay R Pace Elementary School of the Arts",512
2024,631,305,"ES","Clayton County","Kemp Elementary School",600
2024,631,205,"ES","Clayton County","Kemp Primary",598
2024,631,173,"ES","Clayton County","Kilpatrick Elementary School",593
2024,631,4056,"ES","Clayton County","Lake City Elementary School",447
2024,631,295,"ES","Clayton County","Lake Ridge Elementary School",436
2024,631,1058,"ES","Clayton County","Lee Street Elementary School",493
2024,631,204,"ES","Clayton County","Martin Luther King, Jr. Elementary School",511
2024,631,379,"ES","Clayton County","Michelle Obama STEM Elementary Academy",901
2024,631,2058,"ES","Clayton County","Morrow Elementary School",395
2024,631,176,"ES","Clayton County","Mount Zion Elementary School",502
2024,631,109,"ES","Clayton County","Mount Zion Primary",515
2024,631,1060,"ES","Clayton County","Northcutt Elementary School",585
2024,631,276,"ES","Clayton County","Oliver Elementary School",470
2024,631,181,"ES","Clayton County","Pointe South Elementary School",500
2024,631,195,"ES","Clayton County","River's Edge Elementary School",641
2024,631,2060,"ES","Clayton County","Riverdale Elementary School",532
2024,631,200,"ES","Clayton County","Roberta T. Smith Elementary School",727
2024,631,4060,"ES","Clayton County","Suder Elementary School",527
2024,631,5060,"ES","Clayton County","Swint Elementary School",548
2024,631,1062,"ES","Clayton County","Tara Elementary School",543
2024,631,105,"ES","Clayton County","Thurgood Marshall Elementary School",813
2024,631,307,"ES","Clayton County","Unidos Dual Language School",391
2024,631,2062,"ES","Clayton County","West Clayton Elementary School",379
2024,631,5056,"ES","Clayton County","William M. McGarrah Elementary School",591
2024,632,101,"ES","Clinch County","Clinch County Elementary School",452
2024,633,302,"ES","Cobb County","Acworth Intermediate School",505
2024,633,289,"ES","Cobb County","Addison Elementary School",558
2024,633,2050,"ES","Cobb County","Argyle Elementary School",306
2024,633,207,"ES","Cobb County","Austell Elementary School",344
2024,633,189,"ES","Cobb County","Baker Elementary School",758
2024,633,5050,"ES","Cobb County","Bells Ferry Elementary School",748
2024,633,504,"ES","Cobb County","Big Shanty Elementary School",545
2024,633,173,"ES","Cobb County","Birney Elementary School",672
2024,633,399,"ES","Cobb County","Blackwell Elementary School",567
2024,633,5052,"ES","Cobb County","Brumby Elementary School",1008
2024,633,592,"ES","Cobb County","Bryant Elementary School",825
2024,633,104,"ES","Cobb County","Bullard Elementary School",804
2024,633,198,"ES","Cobb County","Chalker Elementary School",671
2024,633,298,"ES","Cobb County","Cheatham Hill Elementary School",971
2024,633,102,"ES","Cobb County","City View Elementary School",886
2024,633,117,"ES","Cobb County","Clarkdale Elementary School",726
2024,633,809,"ES","Cobb County","Clay-Harmony Leland Elementary School",933
2024,633,3556,"ES","Cobb County","Compton Elementary School",623
2024,633,388,"ES","Cobb County","Davis Elementary School",606
2024,633,190,"ES","Cobb County","Dowell Elementary School",861
2024,633,5056,"ES","Cobb County","Due West Elementary School",639
2024,633,114,"ES","Cobb County","East Side Elementary School",1059
2024,633,5068,"ES","Cobb County","Eastvalley Elementary School",676
2024,633,3058,"ES","Cobb County","Fair Oaks Elementary School",706
2024,633,292,"ES","Cobb County","Ford Elementary School",727
2024,633,297,"ES","Cobb County","Frey Elementary School",742
2024,633,185,"ES","Cobb County","Garrison Mill Elementary School",637
2024,633,397,"ES","Cobb County","Green Acres Elementary School",552
2024,633,194,"ES","Cobb County","Hayes Elementary School",788
2024,633,402,"ES","Cobb County","Hendricks Elementary School",492
2024,633,4560,"ES","Cobb County","Hollydale Elementary School",532
2024,633,187,"ES","Cobb County","Keheley Elementary School",388
2024,633,203,"ES","Cobb County","Kemp Elementary School",913
2024,633,404,"ES","Cobb County","Kennesaw Elementary School",573
2024,633,273,"ES","Cobb County","Kincaid Elementary School",599
2024,633,2062,"ES","Cobb County","King Springs Elementary School",1085
2024,633,3062,"ES","Cobb County","LaBelle Elementary School",355
2024,633,287,"ES","Cobb County","Lewis Elementary School",536
2024,633,118,"ES","Cobb County","Mableton Elementary School",889
2024,633,107,"ES","Cobb County","McCall Primary School",263
2024,633,3064,"ES","Cobb County","Milford Elementary School",346
2024,633,278,"ES","Cobb County","Mount Bethel Elementary School",910
2024,633,288,"ES","Cobb County","Mountain View Elementary School",825
2024,633,375,"ES","Cobb County","Murdock Elementary School",899
2024,633,391,"ES","Cobb County","Nicholson Elementary School",398
2024,633,199,"ES","Cobb County","Nickajack Elementary School",1168
2024,633,1066,"ES","Cobb County","Norton Park Elementary School",643
2024,633,109,"ES","Cobb County","Pickett's Mill Elementary School",719
2024,633,204,"ES","Cobb County","Pitner Elementary School",773
2024,633,489,"ES","Cobb County","Powder Springs Elementary School",789
2024,633,1067,"ES","Cobb County","Powers Ferry Elementary School",381
2024,633,307,"ES","Cobb County","Riverside Elementary School",506
2024,633,378,"ES","Cobb County","Rocky Mount Elementary School",573
2024,633,3067,"ES","Cobb County","Russell Elementary School",564
2024,633,398,"ES","Cobb County","Sanders Elementary School",605
2024,633,5067,"ES","Cobb County","Sedalia Park Elementary School",571
2024,633,291,"ES","Cobb County","Shallowford Falls Elementary School",581
2024,633,214,"ES","Cobb County","Smyrna Elementary School",854
2024,633,478,"ES","Cobb County","Sope Creek Elementary School",1088
2024,633,180,"ES","Cobb County","Still Elementary School",737
2024,633,4068,"ES","Cobb County","Teasley Elementary School",961
2024,633,491,"ES","Cobb County","Timber Ridge Elementary School",502
2024,633,181,"ES","Cobb County","Tritt Elementary School",780
2024,633,191,"ES","Cobb County","Varner Elementary School",746
2024,633,197,"ES","Cobb County","Vaughan Elementary School",625
2024,634,102,"ES","Coffee County","Ambrose Elementary School ",361
2024,634,282,"ES","Coffee County","Eastside Elementary School",530
2024,634,100,"ES","Coffee County","Indian Creek Elementary",573
2024,634,182,"ES","Coffee County","Satilla Elementary School",612
